20200610230141.333225-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\VideoLAN\VLC\vlc.exe,"C:\Program Files\VideoLAN\VLC\vlc.exe" -Iskins,13564,9560,N/A
20200610230148.171455-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,16164,1116,N/A
20200610230148.014113-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\backgroundTaskHost.exe,"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:App.AppXass2jm06pp1n7aktd4dcj305y31qrc54.mca,18304,1116,N/A
20200610230148.136970-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,21736,1116,N/A
20200610230148.017868-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\backgroundTaskHost.exe,"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:App.AppXemn3t55segp7q92mwd35v2a5rk5mvwyz.mca,8832,1116,N/A
20200610230148.025581-180,None\None,None,None,9200,736,N/A
20200610230152.327097-180,None\None,None,None,22356,736,N/A
20200610230415.338322-180,None\None,None,None,1216,11480,N/A
20200610230415.226516-180,None\None,None,None,21904,11480,N/A
20200610230428.774284-180,None\None,None,None,19660,736,N/A
20200610230429.861394-180,None\None,None,None,11196,1116,N/A
20200610230540.739881-180,None\None,None,None,10192,1116,N/A
20200610230540.699686-180,None\None,None,None,14392,1984,N/A
20200610230540.796120-180,None\None,None,None,19772,736,N/A
20200610230545.393198-180,None\None,None,None,21560,1352,N/A
20200610230546.513616-180,None\None,None,None,20748,736,N/A
20200610230546.666968-180,None\None,None,None,5740,736,N/A
20200610230550.242579-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\DllHost.exe,C:\Windows\system32\DllHost.exe /Processid:{7E55A26D-EF95-4A45-9F55-21E52ADF9887},22180,1116,N/A
20200610230550.340413-180,DESKTOP-JVEKBVD\Gregorio,C:\Users\Gregorio\AppData\Local\Microsoft\OneDrive\20.064.0329.0008\FileCoAuth.exe,C:\Users\Gregorio\AppData\Local\Microsoft\OneDrive\20.064.0329.0008\FileCoAuth.exe -Embedding,4920,1116,N/A
20200610230550.686675-180,None\None,None,None,9956,736,N/A
20200610230622.969443-180,None\None,None,None,21224,1984,N/A
20200610230621.924575-180,None\None,None,None,21304,736,N/A
20200610230638.615956-180,None\None,None,None,3860,736,N/A
20200610230640.148481-180,None\None,None,None,14924,11480,N/A
20200610230643.254393-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\bin\git.exe,git.exe fetch,13572,15396,N/A
20200610230643.263084-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\bin\git.exe,git.exe fetch,17344,20664,N/A
20200610230643.211080-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\cmd\git.exe,"C:\Program Files\Git\cmd\git.exe" fetch,20664,16488,N/A
20200610230643.219949-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,21408,20664,N/A
20200610230643.208870-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,21600,15396,N/A
20200610230643.283893-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git.exe,git remote-https origin https://github.com/greghonox/arvoce-da-vuda.git,22608,17344,N/A
20200610230643.290064-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git.exe,git remote-https origin https://github.com/greghonox/GERADOR-DE-GRUPOS-WHATSAPP.git,22640,5968,N/A
20200610230643.298336-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git-remote-https.exe,git-remote-https origin https://github.com/greghonox/arvoce-da-vuda.git,22688,22608,N/A
20200610230643.307755-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git-remote-https.exe,git-remote-https origin https://github.com/greghonox/GERADOR-DE-GRUPOS-WHATSAPP.git,22728,22640,N/A
20200610230643.215702-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\cmd\git.exe,"C:\Program Files\Git\cmd\git.exe" fetch,2900,16488,N/A
20200610230643.268379-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\bin\git.exe,git.exe fetch,5968,2900,N/A
20200610230643.223284-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,8036,2900,N/A
20200610230721.574996-180,DESKTOP-JVEKBVD\Gregorio,C:\Users\Gregorio\Desktop\ATENDIMENTO HELP-DESK.exe,"C:\Users\Gregorio\Desktop\ATENDIMENTO HELP-DESK.exe" ,23004,9560,N/A
20200610230721.893396-180,None\None,None,None,23220,736,N/A
20200610230723.878635-180,DESKTOP-JVEKBVD\Gregorio,C:\Users\Gregorio\Desktop\ATENDIMENTO HELP-DESK.exe,"C:\Users\Gregorio\Desktop\ATENDIMENTO HELP-DESK.exe" ,5136,23004,N/A
20200610230725.613364-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\backgroundTaskHost.exe,"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:App.AppXskrs33yvbnt65vwp5545yw4r7nkv3h5t.mca,22720,1116,N/A
20200610231029.560608-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\calc.exe,"C:\Windows\system32\calc.exe" ,13572,9560,N/A
20200610231030.087334-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,16536,1116,N/A
20200610231030.609603-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\DllHost.exe,C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},2628,1116,N/A
20200610231030.840308-180,None\None,None,None,22132,11480,N/A
20200610231030.805440-180,None\None,None,None,8956,11480,N/A
20200610231417.243356-180,None\None,None,None,11020,11480,N/A
20200610231417.209425-180,None\None,None,None,17248,11480,N/A
20200610231554.552807-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git.exe,git remote-https origin https://github.com/greghonox/arvoce-da-vuda.git,1252,744,N/A
20200610231554.576081-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git-remote-https.exe,git-remote-https origin https://github.com/greghonox/arvoce-da-vuda.git,15016,1252,N/A
20200610231554.480154-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,18916,23352,N/A
20200610231554.477319-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,20700,7580,N/A
20200610231554.564608-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git-remote-https.exe,git-remote-https origin https://github.com/greghonox/GERADOR-DE-GRUPOS-WHATSAPP.git,21236,2764,N/A
20200610231554.475915-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\cmd\git.exe,"C:\Program Files\Git\cmd\git.exe" fetch,23352,16488,N/A
20200610231554.547814-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git.exe,git remote-https origin https://github.com/greghonox/GERADOR-DE-GRUPOS-WHATSAPP.git,2764,8596,N/A
20200610231554.523830-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\bin\git.exe,git.exe fetch,744,7580,N/A
20200610231554.472346-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\cmd\git.exe,"C:\Program Files\Git\cmd\git.exe" fetch,7580,16488,N/A
20200610231554.517907-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\bin\git.exe,git.exe fetch,8596,23352,N/A
20200610231608.208072-180,None\None,None,None,19052,736,N/A
20200610231638.625746-180,None\None,None,None,23460,11480,N/A
20200610231729.235600-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,19768,1116,N/A
20200610231729.117525-180,None\None,None,None,22188,736,N/A
20200610231729.108560-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\backgroundTaskHost.exe,"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:Fusion.AppX0saracyrtmrtyxd1hzmbgtpq1vgsw0we.mca,23340,1116,N/A
20200610231729.202063-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,5420,1116,N/A
20200610231729.097203-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\backgroundTaskHost.exe,"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:App.AppXemn3t55segp7q92mwd35v2a5rk5mvwyz.mca,9060,1116,N/A
20200610231741.992556-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1910.0.0_x64__8wekyb3d8bbwe\Calculator.exe,"C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1910.0.0_x64__8wekyb3d8bbwe\Calculator.exe" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca,21132,1116,N/A
20200610231934.928128-180,None\None,None,None,23392,1116,N/A
20200610231935.839448-180,None\None,None,None,260,11480,N/A
20200610232016.287812-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git-remote-https.exe,git-remote-https origin https://github.com/greghonox/GERADOR-DE-GRUPOS-WHATSAPP.git,1084,20684,N/A
20200610232016.197419-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\cmd\git.exe,"C:\Program Files\Git\cmd\git.exe" fetch,14388,16488,N/A
20200610232016.278219-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git-remote-https.exe,git-remote-https origin https://github.com/greghonox/arvoce-da-vuda.git,18296,23180,N/A
20200610232016.249920-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git.exe,git remote-https origin https://github.com/greghonox/modelo_loja_flask.git,19732,23244,N/A
20200610232016.194277-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,20336,22596,N/A
20200610232016.238195-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\bin\git.exe,git.exe fetch,20392,23076,N/A
20200610232016.267079-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git.exe,git remote-https origin https://github.com/greghonox/GERADOR-DE-GRUPOS-WHATSAPP.git,20684,21972,N/A
20200610232016.243708-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\bin\git.exe,git.exe fetch,21972,14388,N/A
20200610232016.198017-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,22644,23076,N/A
20200610232016.193515-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\cmd\git.exe,"C:\Program Files\Git\cmd\git.exe" fetch,23076,16488,N/A
20200610232016.257106-180,DESKTOP-JVEKBVD\Gregorio,C:\Program Files\Git\mingw64\libexec\git-core\git.exe,git remote-https origin https://github.com/greghonox/arvoce-da-vuda.git,23180,20392,N/A
20200610232016.208306-180,DESKTOP-JVEKBVD\Gregorio,C:\Windows\system32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,6444,14388,N/A
